bits_precision,mean_textbook_circuit_lengths,std_textbook_circuit_lengths,mean_textbook_circuit_distance,std_textbook_circuit_distance,mean_iterative_circuit_lengths,std_iterative_circuit_lengths,mean_iterative_circuit_distance,std_iterative_circuit_distance
1,87.0,0.0,0.8771000000000002,2.220446049250313e-16,80.0,0.0,0.8771000000000002,2.220446049250313e-16
2,91.0,0.0,0.22542040000000005,0.009353039283569807,84.0,0.0,0.41647120000000004,0.009669091506444648
3,258.0,0.0,0.3676962,0.003378198567284049,186.0,0.0,0.36027919999999997,0.003457520406302759
4,583.0,0.0,0.20714620000000006,0.009469949607046493,511.0,0.0,0.21809540000000005,0.009772048855792729
5,701.343,3.3635325180530065,0.052982399999999985,0.0240666393632347,572.0,0.0,0.04899959999999993,0.007457039616362515
6,902.484,6.117658375555145,0.06758900000000005,0.01947330067040511,766.224,4.531426265537154,0.06388820000000006,0.01576184572821343
7,1057.174,7.603139088560724,0.040945399999999944,0.008460573198075885,908.644,6.970313048923985,0.03959759999999994,0.007452827264870695
8,1228.0,0.0,0.018929399999999964,0.005840330096835268,1029.0,0.0,0.019381799999999963,0.005578418123446813
9,1237.4,1.9859506539690255,0.016783800000000026,0.0052571567943138315,1029.0,0.0,0.01675180000000001,0.00502189175112328
10,1282.172,5.587344270760483,0.01639320000000001,0.00487040386005104,1029.0,0.0,0.01669700000000001,0.004928528279314227
11,1739.712,24.79897288195622,0.01770140000000003,0.005430189503138923,1470.759,23.82655910953153,0.01733400000000003,0.0054770543177879985
12,1933.898,31.178062736481877,0.017250600000000026,0.00529005478610573,1635.455,30.048859795339986,0.017537800000000027,0.005483766147457435
13,2100.43,28.342637491948416,0.017480000000000034,0.005477955823115055,1797.092,28.053476362119543,0.018031400000000034,0.005711946606893324
14,2256.672,19.16847453502756,0.017946200000000034,0.005655038953004669,1918.993,18.856801186839725,0.017805600000000033,0.0058821398011268105
15,2364.1,15.795885540228506,0.01752300000000003,0.005617190667940707,1997.12,14.932166621090191,0.017769800000000033,0.005644141029421582
16,2541.251,43.52590032383018,0.01766420000000003,0.005746811147062357,2152.338,43.28318098291761,0.017674200000000036,0.005648622341775043
17,2506.518,41.95537720006817,0.01757280000000003,0.005518751684937468,2116.989,40.52427518167352,0.017761400000000035,0.0057175930285392074
18,2592.838,51.91384936604104,0.017521400000000034,0.0056560571107442115,2179.408,51.13192286624864,0.017515600000000027,0.005557279607865715
19,2908.295,40.7335485196171,0.01744440000000003,0.005520712693122161,2475.455,40.11124499439029,0.01781640000000003,0.0057763631326294045
20,3120.042,23.834098178869702,0.01769600000000003,0.005889609834275967,2686.578,21.773238528064677,0.017400400000000035,0.005744862038378307
21,3232.061,40.84459914113492,0.017709800000000036,0.00535232883518942,2752.799,39.03109784517981,0.01760420000000003,0.005625323311597314
22,3292.573,29.821580625446394,0.017544400000000033,0.005822984513116978,2807.446,29.7029810625129,0.01765260000000003,0.0056419635978974675
23,3575.732,48.61121450858843,0.018034600000000036,0.005785350710199004,3052.476,47.811310628344,0.017937800000000035,0.005942996816421842
24,3643.869,64.58256606081862,0.017644400000000032,0.0057238543517458725,3097.074,63.60068021648824,0.01730600000000003,0.005613074380408667
25,3845.725,25.650991696228825,0.017592800000000033,0.005671383266893549,3261.827,24.746657774333894,0.017571800000000033,0.005585828923266462
26,4035.486,38.49316567911764,0.017927800000000032,0.005711009294336702,3419.473,37.40357297104115,0.01766060000000003,0.005442151012237728
27,4155.907,60.5843077950058,0.017521000000000033,0.005511271994739523,3532.131,60.206991612270414,0.017725800000000035,0.005532505251692052
28,4342.415,26.688851136757464,0.01764880000000003,0.005602750981437616,3679.055,25.417867239404647,0.017613800000000037,0.005753330301660085
29,4368.584,37.00112084788784,0.01770820000000004,0.005524702051694745,3708.971,36.76770538121736,0.017855000000000034,0.005571769467592872
30,4583.528,42.46317482242702,0.01754640000000003,0.005558575990305447,3891.285,41.625446243854256,0.01789020000000003,0.005899917284165951
31,4800.137,29.44517330565402,0.018097400000000034,0.005668233696664257,4095.838,29.123937851877105,0.017836600000000032,0.005569098709845261
32,4958.947,27.960475514554464,0.01794020000000003,0.0056821390303300546,4255.683,27.842638362770153,0.017512200000000033,0.005635374979537754
